LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,datetime,label,label_id,extracted_ip
344,Jun,25,09:20:24,combo,ftpd,31467,connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-06-25 09:20:24,SUSPICIOUS,2,210.118.170.95
1096,Jul,10,07:24:24,combo,ftpd,29718,connection from 82.83.227.67 (dsl-082-083-227-067.arcor-ip.net) at Sun Jul 10 07:24:24 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-07-10 07:24:24,SUSPICIOUS,2,82.83.227.67
972,Jul,9,11:35:59,combo,ftpd,23036,connection from 211.57.88.250 () at Sat Jul  9 11:35:59 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-07-09 11:35:59,SUSPICIOUS,2,211.57.88.250
1865,Jul,26,05:47:42,combo,ftpd,28698,connection from 172.181.208.156 () at Tue Jul 26 05:47:42 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-07-26 05:47:42,SUSPICIOUS,2,172.181.208.156
325,Jun,25,04:41:49,combo,sshd(pam_unix),31036,check pass; user unknown,E27,check pass; user unknown,2005-06-25 04:41:49,BRUTE_FORCE,1,
1611,Jul,20,04:05:04,combo,logrotate,0,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [1],2005-07-20 04:05:04,SUSPICIOUS,2,
905,Jul,7,08:09:11,combo,udev,12786,removing device node '/udev/vcs2',E89,removing device node '/udev/<*>',2005-07-07 08:09:11,NORMAL,0,
248,Jun,22,13:16:30,combo,ftpd,17889,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-06-22 13:16:30,SUSPICIOUS,2,210.245.165.136
1790,Jul,25,06:39:18,combo,ftpd,24977,connection from 206.47.209.10 () at Mon Jul 25 06:39:18 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-07-25 06:39:18,SUSPICIOUS,2,206.47.209.10
882,Jul,7,04:10:44,combo,su(pam_unix),12193,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),2005-07-07 04:10:44,NORMAL,0,
278,Jun,23,01:41:30,combo,sshd(pam_unix),18976,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,E17,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=guest,2005-06-23 01:41:30,BRUTE_FORCE,1,209.152.168.249
273,Jun,23,01:41:29,combo,sshd(pam_unix),18975,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=209.152.168.249  user=guest,E17,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=guest,2005-06-23 01:41:29,BRUTE_FORCE,1,209.152.168.249
1294,Jul,15,01:03:48,combo,sshd(pam_unix),12628,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=c51471f2c.cable.wanadoo.nl  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,2005-07-15 01:03:48,BRUTE_FORCE,1,
372,Jun,26,04:04:19,combo,cups,0,cupsd shutdown succeeded,E37,cupsd shutdown succeeded,2005-06-26 04:04:19,NORMAL,0,
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>,2005-06-15 12:13:19,BRUTE_FORCE,1,218.188.2.4
1315,Jul,15,23:42:43,combo,ftpd,15340,connection from 211.107.232.1 () at Fri Jul 15 23:42:43 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-07-15 23:42:43,SUSPICIOUS,2,211.107.232.1
1559,Jul,18,03:26:49,combo,ftpd,25639,connection from 211.72.151.162 () at Mon Jul 18 03:26:49 2005,E29,connection from <*> (<*>) at <*>:<*>:<*>,2005-07-18 03:26:49,SUSPICIOUS,2,211.72.151.162
1184,Jul,10,16:02:40,combo,sshd(pam_unix),30625,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,E18,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=root,2005-07-10 16:02:40,BRUTE_FORCE,1,150.183.249.110
908,Jul,7,08:09:11,combo,udev,12798,creating device node '/udev/vcsa2',E36,creating device node '/udev/<*>',2005-07-07 08:09:11,NORMAL,0,
955,Jul,8,20:14:56,combo,sshd(pam_unix),20968,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=212.0.132.20  user=test,E19,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>  user=test,2005-07-08 20:14:56,BRUTE_FORCE,1,212.0.132.20
